食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,50.0,33.0,33.0,33.0,25.0,33.0,33.0,42.0,33.0,33.0,33.0,28.0,50.0,32.0,33.0
胡蘿蔔,50.0,35.0,33.0,41.0,25.0,33.0,33.0,41.0,41.0,41.0,30.0,28.0,50.0,35.0,41.0
麻竹筍,0.0,166.0,0.0,0.0,75.0,0.0,133.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,66.0,50.0,41.0,50.0,33.0,50.0,50.0,58.0,50.0,50.0,40.0,41.0,66.0,43.0,50.0
甘藍,33.0,20.0,20.0,20.0,15.0,25.0,17.0,25.0,25.0,17.0,17.0,16.0,33.0,16.0,17.0
小白菜,66.0,41.0,41.0,41.0,33.0,33.0,33.0,50.0,50.0,50.0,35.0,33.0,66.0,35.0,50.0
包心白菜,50.0,33.0,30.0,33.0,20.0,33.0,33.0,41.0,41.0,33.0,28.0,20.0,50.0,32.0,33.0
菠菜,66.0,43.0,50.0,50.0,33.0,50.0,33.0,50.0,50.0,41.0,35.0,33.0,66.0,39.0,41.0
青江白菜,66.0,43.0,41.0,50.0,33.0,50.0,33.0,50.0,50.0,50.0,35.0,33.0,66.0,40.0,50.0
空心菜,66.0,50.0,41.0,50.0,33.0,41.0,33.0,41.0,50.0,50.0,30.0,41.0,66.0,39.0,50.0
青蔥,83.0,56.0,41.0,50.0,33.0,50.0,42.0,58.0,50.0,50.0,42.0,46.0,83.0,42.0,50.0
韭菜,66.0,47.0,41.0,41.0,33.0,50.0,42.0,50.0,58.0,50.0,42.0,50.0,83.0,42.0,50.0
茄子,83.0,41.0,41.0,33.0,25.0,41.0,33.0,50.0,50.0,33.0,35.0,25.0,83.0,42.0,33.0
蕃茄,83.0,33.0,33.0,33.0,25.0,41.0,42.0,41.0,50.0,41.0,33.0,35.0,83.0,30.0,41.0
菜豆,83.0,58.0,67.0,66.0,41.0,66.0,67.0,67.0,66.0,66.0,40.0,58.0,100.0,40.0,66.0
大黃瓜,50.0,28.0,33.0,33.0,25.0,50.0,25.0,41.0,33.0,25.0,40.0,25.0,50.0,31.0,25.0
花椰菜,83.0,50.0,41.0,33.0,25.0,50.0,50.0,50.0,58.0,41.0,42.0,45.0,83.0,42.0,41.0
絲瓜,50.0,33.0,25.0,25.0,25.0,41.0,33.0,33.0,41.0,25.0,25.0,38.0,66.0,29.0,25.0
花胡瓜,83.0,60.0,50.0,58.0,41.0,58.0,50.0,58.0,66.0,66.0,50.0,50.0,100.0,57.0,66.0
苦瓜,100.0,67.0,58.0,66.0,50.0,66.0,58.0,67.0,66.0,66.0,67.0,55.0,100.0,55.0,66.0
