食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,116.0,58.0,58.0,83.0,50.0,100.0,67.0,58.0,91.0,,60.0,50.0,92.0,56.0,66.0
胡蘿蔔,83.0,56.0,55.0,66.0,55.0,58.0,50.0,55.0,66.0,,46.0,47.0,50.0,52.0,50.0
麻竹筍,133.0,83.0,0.0,100.0,0.0,0.0,83.0,0.0,0.0,,33.0,0.0,0.0,0.0,83.0
馬鈴薯,83.0,58.0,55.0,58.0,55.0,58.0,50.0,58.0,58.0,,50.0,42.0,50.0,52.0,50.0
甘藍,116.0,75.0,100.0,83.0,83.0,83.0,83.0,100.0,100.0,,87.0,75.0,100.0,86.0,83.0
小白菜,83.0,67.0,67.0,83.0,58.0,83.0,83.0,75.0,83.0,,58.0,50.0,42.0,52.0,83.0
包心白菜,100.0,83.0,75.0,75.0,67.0,50.0,83.0,83.0,83.0,,83.0,0.0,58.0,68.0,83.0
菠菜,200.0,133.0,167.0,183.0,150.0,166.0,133.0,175.0,167.0,,150.0,117.0,167.0,168.0,133.0
青江白菜,83.0,83.0,67.0,83.0,58.0,83.0,83.0,67.0,83.0,,57.0,50.0,50.0,52.0,83.0
空心菜,100.0,58.0,50.0,66.0,45.0,100.0,50.0,50.0,66.0,,54.0,58.0,33.0,46.0,50.0
青蔥,200.0,150.0,150.0,166.0,150.0,133.0,200.0,167.0,166.0,,130.0,133.0,117.0,138.0,166.0
韭菜,133.0,72.0,75.0,83.0,67.0,100.0,83.0,75.0,75.0,,68.0,50.0,67.0,0.0,83.0
茄子,133.0,95.0,83.0,83.0,67.0,83.0,67.0,83.0,83.0,,88.0,58.0,50.0,72.0,66.0
蕃茄,150.0,100.0,117.0,133.0,100.0,150.0,100.0,133.0,133.0,,112.0,125.0,117.0,108.0,100.0
菜豆,133.0,108.0,108.0,133.0,100.0,116.0,83.0,117.0,133.0,,85.0,58.0,67.0,80.0,83.0
大黃瓜,83.0,58.0,45.0,66.0,41.0,75.0,50.0,50.0,50.0,,58.0,58.0,58.0,54.0,50.0
花椰菜,166.0,117.0,133.0,0.0,117.0,233.0,0.0,142.0,142.0,,117.0,100.0,167.0,124.0,0.0
絲瓜,83.0,58.0,50.0,66.0,50.0,58.0,50.0,58.0,58.0,,50.0,58.0,42.0,46.0,50.0
花胡瓜,116.0,72.0,75.0,100.0,67.0,66.0,83.0,75.0,83.0,,70.0,50.0,83.0,72.0,83.0
苦瓜,150.0,92.0,108.0,133.0,100.0,133.0,100.0,117.0,133.0,,100.0,75.0,100.0,104.0,116.0
青椒,233.0,108.0,200.0,167.0,200.0,233.0,133.0,200.0,233.0,,124.0,100.0,167.0,128.0,133.0
芹菜,267.0,216.0,167.0,200.0,150.0,200.0,200.0,183.0,200.0,,133.0,108.0,133.0,156.0,200.0
四季豆,233.0,183.0,167.0,200.0,167.0,266.0,200.0,183.0,233.0,,180.0,75.0,167.0,160.0,200.0
牛蒡,100.0,83.0,0.0,83.0,83.0,83.0,83.0,83.0,83.0,,80.0,50.0,83.0,78.0,83.0
生薑,166.0,133.0,133.0,116.0,116.0,133.0,100.0,117.0,116.0,,100.0,133.0,133.0,118.0,116.0
芋頭,108.0,83.0,83.0,91.0,75.0,100.0,83.0,75.0,83.0,,82.0,58.0,83.0,80.0,83.0
綠竹筍,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.0,0.0,0.0,0.0,0.0
洋蔥,75.0,50.0,50.0,66.0,50.0,66.0,58.0,50.0,50.0,,48.0,42.0,42.0,46.0,58.0
綠蘆筍,267.0,200.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
筊白筍,267.0,217.0,217.0,266.0,217.0,233.0,200.0,233.0,217.0,,205.0,0.0,217.0,208.0,233.0
大芥菜,116.0,86.0,67.0,0.0,58.0,83.0,83.0,67.0,67.0,,0.0,0.0,58.0,60.0,0.0
青蒜,333.0,200.0,250.0,266.0,233.0,300.0,300.0,267.0,266.0,,224.0,0.0,250.0,240.0,300.0
蒜頭,200.0,166.0,183.0,200.0,183.0,216.0,183.0,183.0,183.0,,168.0,150.0,167.0,168.0,183.0
甘藍芽,216.0,200.0,0.0,200.0,0.0,0.0,250.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
芥藍,133.0,83.0,75.0,116.0,67.0,83.0,83.0,75.0,75.0,,62.0,58.0,67.0,64.0,83.0
莧菜,116.0,67.0,83.0,83.0,75.0,100.0,83.0,75.0,75.0,,65.0,58.0,58.0,60.0,83.0
本島萵苣,116.0,100.0,100.0,116.0,92.0,0.0,83.0,108.0,100.0,,0.0,67.0,58.0,0.0,83.0
萵苣,116.0,100.0,83.0,116.0,83.0,166.0,100.0,100.0,100.0,,0.0,0.0,0.0,0.0,0.0
茼蒿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
