食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,100.0,50.0,50.0,58.0,50.0,,,58.0,50.0,50.0,50.0,50.0,50.0,52.0,58.0
胡蘿蔔,83.0,52.0,50.0,58.0,50.0,,,55.0,58.0,58.0,48.0,42.0,42.0,48.0,66.0
麻竹筍,133.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,50.0,58.0,50.0,,,50.0,58.0,58.0,47.0,42.0,42.0,48.0,58.0
甘藍,83.0,71.0,67.0,83.0,58.0,,,67.0,83.0,83.0,67.0,67.0,58.0,60.0,83.0
小白菜,100.0,83.0,67.0,91.0,58.0,,,75.0,83.0,83.0,66.0,58.0,50.0,62.0,100.0
包心白菜,83.0,75.0,67.0,83.0,58.0,,,67.0,83.0,83.0,75.0,0.0,50.0,68.0,100.0
菠菜,133.0,91.0,92.0,83.0,83.0,,,100.0,92.0,83.0,82.0,83.0,67.0,84.0,100.0
青江白菜,116.0,91.0,75.0,83.0,58.0,,,75.0,83.0,83.0,68.0,58.0,58.0,66.0,100.0
空心菜,100.0,67.0,0.0,75.0,58.0,,,67.0,83.0,83.0,63.0,0.0,33.0,58.0,83.0
青蔥,116.0,116.0,92.0,133.0,83.0,,,100.0,116.0,116.0,110.0,92.0,83.0,108.0,133.0
韭菜,100.0,66.0,58.0,75.0,58.0,,,67.0,67.0,58.0,62.0,58.0,67.0,62.0,83.0
茄子,133.0,83.0,67.0,83.0,58.0,,,67.0,83.0,66.0,75.0,58.0,47.0,70.0,83.0
蕃茄,133.0,76.0,83.0,83.0,75.0,,,83.0,100.0,100.0,65.0,75.0,47.0,70.0,83.0
菜豆,166.0,0.0,100.0,0.0,92.0,,,117.0,0.0,116.0,0.0,0.0,75.0,0.0,0.0
大黃瓜,83.0,83.0,50.0,83.0,41.0,,,50.0,66.0,66.0,74.0,58.0,42.0,62.0,83.0
花椰菜,166.0,108.0,108.0,100.0,92.0,,,117.0,100.0,100.0,86.0,75.0,75.0,96.0,116.0
絲瓜,83.0,72.0,50.0,66.0,50.0,,,58.0,66.0,66.0,74.0,75.0,55.0,68.0,83.0
花胡瓜,100.0,100.0,67.0,116.0,58.0,,,67.0,100.0,83.0,100.0,75.0,50.0,84.0,116.0
苦瓜,200.0,150.0,92.0,150.0,83.0,,,100.0,116.0,116.0,0.0,100.0,100.0,0.0,166.0
