食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
大黃瓜,116.0,83.0,,91.0,75.0,75.0,83.0,,83.0,83.0,74.0,58.0,58.0,78.0,116.0
花椰菜,133.0,100.0,,100.0,92.0,83.0,92.0,,100.0,100.0,83.0,67.0,0.0,80.0,116.0
絲瓜,116.0,72.0,,83.0,67.0,58.0,58.0,,83.0,83.0,72.0,75.0,67.0,0.0,83.0
花胡瓜,166.0,108.0,,116.0,100.0,116.0,100.0,,116.0,116.0,110.0,67.0,117.0,104.0,116.0
苦瓜,233.0,133.0,,166.0,0.0,116.0,150.0,,166.0,166.0,0.0,75.0,108.0,0.0,166.0
青椒,166.0,100.0,,116.0,83.0,116.0,117.0,,116.0,116.0,90.0,67.0,83.0,90.0,133.0
芹菜,166.0,116.0,,133.0,117.0,116.0,133.0,,133.0,133.0,110.0,83.0,100.0,96.0,133.0
四季豆,233.0,150.0,,166.0,150.0,166.0,167.0,,166.0,166.0,0.0,92.0,117.0,0.0,166.0
牛蒡,100.0,83.0,,83.0,67.0,83.0,83.0,,83.0,83.0,78.0,50.0,83.0,80.0,83.0
生薑,166.0,133.0,,133.0,117.0,133.0,133.0,,133.0,133.0,110.0,92.0,133.0,108.0,133.0
芋頭,133.0,100.0,,100.0,108.0,100.0,100.0,,108.0,116.0,85.0,75.0,100.0,90.0,100.0
綠竹筍,267.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
洋蔥,66.0,58.0,,50.0,50.0,66.0,50.0,,58.0,58.0,46.0,30.0,42.0,46.0,66.0
綠蘆筍,366.0,0.0,,0.0,0.0,0.0,250.0,,0.0,333.0,0.0,0.0,0.0,0.0,0.0
筊白筍,267.0,250.0,,233.0,250.0,233.0,217.0,,250.0,250.0,0.0,0.0,0.0,0.0,250.0
大芥菜,116.0,83.0,,83.0,83.0,83.0,83.0,,83.0,83.0,65.0,0.0,50.0,72.0,100.0
青蒜,200.0,200.0,,150.0,150.0,200.0,200.0,,160.0,133.0,136.0,117.0,133.0,144.0,200.0
蒜頭,267.0,233.0,,200.0,233.0,166.0,183.0,,250.0,250.0,160.0,167.0,200.0,184.0,250.0
甘藍芽,216.0,0.0,,183.0,167.0,0.0,200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
芥藍,166.0,80.0,,83.0,83.0,83.0,108.0,,83.0,83.0,76.0,0.0,67.0,76.0,100.0
莧菜,133.0,72.0,,83.0,83.0,66.0,100.0,,83.0,83.0,80.0,50.0,67.0,72.0,83.0
本島萵苣,133.0,85.0,,91.0,92.0,0.0,100.0,,83.0,83.0,0.0,50.0,58.0,0.0,100.0
萵苣,116.0,86.0,,100.0,83.0,83.0,83.0,,83.0,83.0,0.0,0.0,0.0,0.0,100.0
茼蒿,0.0,117.0,,116.0,108.0,116.0,0.0,,117.0,116.0,100.0,0.0,92.0,96.0,100.0
青花苔,133.0,100.0,,100.0,100.0,0.0,100.0,,116.0,100.0,0.0,75.0,0.0,84.0,133.0
金針菜乾,933.0,750.0,,666.0,533.0,533.0,583.0,,800.0,800.0,0.0,750.0,750.0,0.0,800.0
冬瓜,66.0,50.0,,50.0,50.0,58.0,42.0,,50.0,50.0,42.0,30.0,50.0,46.0,50.0
扁蒲,116.0,50.0,,66.0,50.0,0.0,67.0,,0.0,66.0,0.0,0.0,0.0,0.0,0.0
甜碗豆,216.0,167.0,,183.0,150.0,300.0,200.0,,166.0,166.0,200.0,0.0,0.0,0.0,200.0
碗豆,216.0,200.0,,183.0,200.0,133.0,200.0,,200.0,200.0,200.0,0.0,0.0,0.0,200.0
甜玉米,133.0,96.0,,100.0,100.0,100.0,100.0,,100.0,100.0,85.0,50.0,100.0,88.0,100.0
香菇乾,1,800.0,1,666.0,,1,666.0,1,670.0,1,660.0,1,833.0,,1,667.0,1,667.0,0.0,1,250.0,1,250.0,0.0,1,667.0
香菇溼,216.0,216.0,,200.0,167.0,200.0,200.0,,200.0,200.0,165.0,117.0,200.0,168.0,200.0
黑色木耳,200.0,133.0,,116.0,133.0,116.0,133.0,,133.0,133.0,112.0,100.0,117.0,112.0,116.0
香蕉,100.0,83.0,,83.0,83.0,83.0,83.0,,83.0,83.0,83.0,0.0,108.0,96.0,83.0
鳳梨17號,41.0,41.0,,41.0,41.0,41.0,42.0,,41.0,41.0,50.0,0.0,42.0,38.0,41.0
番石榴世紀,83.0,67.0,,66.0,0.0,0.0,0.0,,0.0,83.0,25.0,0.0,82.0,0.0,66.0
木瓜,66.0,67.0,,58.0,41.0,66.0,58.0,,58.0,50.0,58.0,0.0,65.0,58.0,66.0
小西瓜,41.0,33.0,,0.0,30.0,41.0,33.0,,0.0,0.0,0.0,0.0,37.0,0.0,0.0
甜瓜,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,80.0,0.0,132.0,0.0,0.0
洋香瓜,125.0,95.0,,100.0,92.0,83.0,100.0,,100.0,100.0,85.0,0.0,132.0,92.0,83.0
海梨柑,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
文旦,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柳橙,58.0,43.0,,0.0,33.0,41.0,4.0,,50.0,50.0,75.0,0.0,65.0,0.0,50.0
椪柑,0.0,67.0,,91.0,75.0,83.0,83.0,,83.0,0.0,0.0,0.0,82.0,0.0,0.0
楊桃,66.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,65.0,56.0,0.0
蓮霧,166.0,110.0,,133.0,100.0,116.0,133.0,,133.0,133.0,166.0,0.0,158.0,0.0,0.0
鶯歌桃,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
紅柿子,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨峰葡萄,166.0,150.0,,166.0,150.0,166.0,150.0,,166.0,0.0,140.0,0.0,217.0,160.0,166.0
黑葉荔枝,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在來芒果,150.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200.0,0.0,0.0
新世紀梨,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,150.0,0.0,115.0,0.0,0.0
棗子,150.0,100.0,,83.0,67.0,100.0,0.0,,100.0,100.0,0.0,0.0,132.0,90.0,100.0
紅肉李,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,165.0,0.0,0.0
玉李,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荔枝玉荷,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳳梨開英,33.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桶柑,66.0,0.0,,66.0,67.0,83.0,67.0,,0.0,66.0,0.0,0.0,82.0,76.0,0.0
檸檬,66.0,63.0,,58.0,41.0,50.0,67.0,,50.0,0.0,58.0,0.0,58.0,0.0,50.0
茂谷柑,108.0,95.0,,83.0,75.0,100.0,92.0,,83.0,83.0,0.0,0.0,115.0,86.0,83.0
白柚,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甜桃,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,183.0,0.0,0.0
水蜜桃,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,400.0,0.0,0.0
牛心柿,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甜柿,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橫山梨,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,115.0,0.0,0.0
新興梨,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,150.0,0.0,98.0,0.0,0.0
大西瓜,50.0,0.0,,41.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,42.0,0.0,0.0
無子西瓜,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
枇杷,267.0,0.0,,0.0,0.0,0.0,250.0,,0.0,0.0,0.0,0.0,267.0,0.0,0.0
番石榴珍珠,83.0,83.0,,100.0,67.0,0.0,67.0,,83.0,83.0,25.0,0.0,82.0,76.0,83.0
金煌芒果,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200.0,0.0,0.0
愛文芒果,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,250.0,0.0,0.0
釋迦,183.0,116.0,,116.0,117.0,116.0,133.0,,116.0,0.0,0.0,0.0,158.0,112.0,116.0
龍眼,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
虱目魚,166.0,150.0,,150.0,133.0,150.0,133.0,,150.0,150.0,150.0,133.0,150.0,144.0,133.0
吳郭魚,166.0,133.0,,150.0,133.0,133.0,100.0,,133.0,150.0,133.0,167.0,133.0,136.0,133.0
鰱魚,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赤宗,716.0,533.0,,533.0,366.0,533.0,580.0,,533.0,500.0,0.0,350.0,700.0,0.0,500.0
加臘,0.0,333.0,,0.0,266.0,533.0,500.0,,0.0,300.0,0.0,350.0,633.0,424.0,0.0
盤仔魚,0.0,366.0,,400.0,300.0,433.0,580.0,,400.0,366.0,0.0,400.0,533.0,0.0,350.0
白鯧,833.0,600.0,,666.0,450.0,0.0,580.0,,0.0,0.0,0.0,0.0,0.0,0.0,500.0
旗魚,0.0,300.0,,266.0,250.0,266.0,333.0,,333.0,366.0,284.0,300.0,300.0,312.0,0.0
鮪魚,366.0,333.0,,400.0,300.0,333.0,420.0,,400.0,333.0,330.0,400.0,333.0,444.0,0.0
肉魚,500.0,400.0,,450.0,300.0,333.0,400.0,,400.0,400.0,432.0,400.0,667.0,416.0,450.0
紅目鰱,700.0,500.0,,666.0,366.0,500.0,420.0,,583.0,0.0,0.0,0.0,783.0,0.0,460.0
烏賊,267.0,267.0,,266.0,200.0,266.0,333.0,,265.0,283.0,250.0,333.0,300.0,240.0,266.0
白帶魚,466.0,420.0,,333.0,250.0,300.0,333.0,,333.0,333.0,330.0,500.0,583.0,342.0,300.0
鯖魚,0.0,216.0,,0.0,200.0,200.0,250.0,,0.0,233.0,230.0,267.0,300.0,0.0,250.0
白口,0.0,300.0,,300.0,250.0,266.0,333.0,,0.0,266.0,0.0,300.0,533.0,0.0,300.0
海鰻,0.0,0.0,,0.0,0.0,0.0,420.0,,0.0,0.0,0.0,417.0,283.0,0.0,0.0
金線魚,0.0,316.0,,430.0,300.0,333.0,520.0,,300.0,0.0,0.0,400.0,600.0,0.0,400.0
黃花魚,0.0,267.0,,0.0,250.0,266.0,420.0,,0.0,300.0,255.0,300.0,300.0,0.0,0.0
黑鯧,0.0,333.0,,300.0,266.0,333.0,400.0,,400.0,300.0,400.0,367.0,583.0,0.0,333.0
草蝦,0.0,0.0,,0.0,0.0,0.0,580.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
厚殼蝦,350.0,330.0,,266.0,183.0,0.0,420.0,,266.0,266.0,0.0,0.0,333.0,0.0,250.0
里肌肉,250.0,217.0,,216.0,200.0,225.0,217.0,,217.0,200.0,167.0,200.0,200.0,200.0,217.0
後腿肉,250.0,200.0,,200.0,200.0,183.0,200.0,,200.0,166.0,150.0,183.0,200.0,196.0,200.0
五花肉,250.0,216.0,,216.0,200.0,200.0,217.0,,217.0,200.0,200.0,200.0,200.0,200.0,217.0
牛腱,300.0,300.0,,0.0,283.0,283.0,317.0,,300.0,0.0,300.0,300.0,300.0,296.0,333.0
腿肉,333.0,320.0,,0.0,300.0,300.0,333.0,,333.0,0.0,300.0,300.0,333.0,0.0,300.0
腩肉,300.0,300.0,,0.0,283.0,266.0,275.0,,300.0,0.0,300.0,300.0,300.0,296.0,300.0
肉雞,0.0,0.0,,0.0,133.0,0.0,0.0,,0.0,0.0,0.0,125.0,0.0,0.0,0.0
土雞,280.0,250.0,,250.0,233.0,250.0,267.0,,250.0,250.0,200.0,0.0,250.0,232.0,0.0
仿雞,0.0,200.0,,200.0,200.0,200.0,233.0,,200.0,200.0,150.0,0.0,200.0,0.0,0.0
鴨子,200.0,176.0,,183.0,175.0,183.0,183.0,,183.0,183.0,183.0,166.0,183.0,176.0,0.0
雞,72.0,72.0,,72.0,75.0,72.0,72.0,,72.0,72.0,67.0,67.0,67.0,70.0,70.0
鴨,83.0,83.0,,83.0,83.0,83.0,83.0,,83.0,83.0,0.0,83.0,83.0,0.0,0.0
