食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,83.0,,50.0,,41.0,66.0,50.0,50.0,58.0,58.0,58.0,42.0,58.0,52.0,58.0
胡蘿蔔,66.0,,41.0,,41.0,50.0,58.0,41.0,50.0,50.0,50.0,42.0,33.0,46.0,50.0
麻竹筍,100.0,,0.0,,83.0,100.0,83.0,0.0,83.0,83.0,45.0,58.0,67.0,72.0,83.0
馬鈴薯,66.0,,50.0,,50.0,50.0,58.0,58.0,58.0,58.0,50.0,42.0,58.0,52.0,58.0
甘藍,83.0,,92.0,,75.0,83.0,117.0,100.0,133.0,100.0,58.0,63.0,58.0,74.0,133.0
小白菜,100.0,,58.0,,50.0,83.0,67.0,58.0,66.0,83.0,55.0,58.0,42.0,58.0,66.0
包心白菜,100.0,,58.0,,50.0,83.0,67.0,67.0,81.0,83.0,67.0,58.0,42.0,62.0,83.0
菠菜,166.0,,183.0,,150.0,200.0,200.0,200.0,166.0,166.0,150.0,150.0,117.0,160.0,166.0
青江白菜,83.0,,58.0,,50.0,83.0,75.0,67.0,83.0,83.0,58.0,50.0,50.0,74.0,83.0
空心菜,83.0,,41.0,,41.0,66.0,50.0,50.0,83.0,58.0,50.0,33.0,50.0,46.0,83.0
青蔥,150.0,,91.0,,75.0,83.0,108.0,91.0,110.0,100.0,78.0,83.0,83.0,86.0,116.0
韭菜,166.0,,67.0,,58.0,50.0,67.0,58.0,100.0,75.0,63.0,42.0,58.0,68.0,100.0
茄子,166.0,,83.0,,83.0,58.0,83.0,91.0,100.0,83.0,55.0,50.0,50.0,60.0,100.0
蕃茄,200.0,,100.0,,91.0,100.0,117.0,117.0,166.0,133.0,100.0,75.0,100.0,80.0,166.0
菜豆,133.0,,117.0,,100.0,100.0,100.0,117.0,133.0,100.0,100.0,83.0,67.0,96.0,133.0
大黃瓜,66.0,,45.0,,45.0,50.0,50.0,47.0,58.0,50.0,54.0,33.0,83.0,52.0,58.0
花椰菜,166.0,,117.0,,100.0,116.0,133.0,133.0,166.0,116.0,120.0,100.0,117.0,100.0,166.0
絲瓜,66.0,,45.0,,41.0,41.0,50.0,47.0,50.0,66.0,40.0,50.0,42.0,52.0,50.0
花胡瓜,133.0,,75.0,,67.0,58.0,83.0,91.0,133.0,83.0,70.0,58.0,83.0,72.0,133.0
苦瓜,166.0,,117.0,,100.0,83.0,100.0,117.0,133.0,100.0,100.0,58.0,83.0,80.0,133.0
青椒,166.0,,117.0,,100.0,83.0,117.0,133.0,133.0,116.0,83.0,75.0,100.0,96.0,133.0
芹菜,267.0,,200.0,,183.0,116.0,200.0,217.0,250.0,200.0,150.0,150.0,133.0,172.0,250.0
四季豆,233.0,,200.0,,167.0,116.0,200.0,200.0,210.0,200.0,116.0,108.0,133.0,0.0,216.0
牛蒡,100.0,,58.0,,66.0,83.0,75.0,100.0,83.0,83.0,80.0,58.0,83.0,78.0,83.0
生薑,166.0,,100.0,,83.0,100.0,100.0,100.0,133.0,116.0,100.0,100.0,150.0,100.0,133.0
芋頭,100.0,,67.0,,83.0,83.0,83.0,100.0,83.0,83.0,92.0,75.0,83.0,80.0,83.0
綠竹筍,166.0,,133.0,,0.0,0.0,100.0,117.0,0.0,133.0,67.0,0.0,0.0,0.0,0.0
洋蔥,66.0,,33.0,,33.0,41.0,50.0,41.0,50.0,50.0,40.0,33.0,42.0,41.0,50.0
綠蘆筍,267.0,,0.0,,0.0,0.0,250.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0
筊白筍,267.0,,200.0,,200.0,200.0,200.0,217.0,216.0,216.0,180.0,0.0,0.0,192.0,216.0
大芥菜,116.0,,58.0,,50.0,83.0,67.0,58.0,0.0,0.0,0.0,50.0,58.0,0.0,0.0
青蒜,267.0,,200.0,,183.0,233.0,267.0,217.0,216.0,183.0,200.0,183.0,150.0,196.0,216.0
蒜頭,166.0,,133.0,,100.0,166.0,150.0,133.0,166.0,150.0,120.0,100.0,100.0,104.0,166.0
甘藍芽,200.0,,0.0,,0.0,133.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
芥藍,267.0,,75.0,,67.0,100.0,83.0,75.0,100.0,83.0,60.0,58.0,58.0,72.0,100.0
莧菜,100.0,,75.0,,58.0,83.0,83.0,75.0,80.0,83.0,60.0,50.0,67.0,62.0,83.0
本島萵苣,100.0,,75.0,,67.0,75.0,83.0,75.0,100.0,100.0,0.0,58.0,58.0,0.0,100.0
萵苣,100.0,,58.0,,50.0,75.0,100.0,67.0,166.0,83.0,0.0,0.0,0.0,0.0,166.0
茼蒿,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
青花苔,0.0,,0.0,,0.0,66.0,117.0,0.0,0.0,166.0,0.0,117.0,117.0,0.0,0.0
金針菜乾,533.0,,533.0,,533.0,533.0,583.0,533.0,750.0,800.0,0.0,750.0,750.0,0.0,750.0
冬瓜,50.0,,33.0,,33.0,33.0,33.0,41.0,41.0,41.0,33.0,30.0,33.0,35.0,41.0
扁蒲,66.0,,0.0,,41.0,50.0,50.0,58.0,50.0,50.0,30.0,42.0,42.0,0.0,50.0
甜碗豆,267.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,150.0,0.0,0.0
碗豆,267.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,150.0,0.0,0.0
甜玉米,83.0,,58.0,,41.0,58.0,58.0,58.0,75.0,66.0,55.0,42.0,58.0,52.0,75.0
香菇乾,1,300.0,,1,670.0,,1,500.0,1,160.0,2,000.0,2,000.0,1,500.0,1,667.0,1,300.0,1,250.0,1,333.0,0.0,1,166.0
香菇溼,216.0,,167.0,,150.0,166.0,167.0,167.0,200.0,200.0,167.0,125.0,167.0,152.0,200.0
黑色木耳,166.0,,117.0,,100.0,116.0,117.0,133.0,133.0,116.0,110.0,92.0,133.0,108.0,133.0
香蕉,50.0,,50.0,,45.0,50.0,50.0,58.0,50.0,50.0,50.0,0.0,48.0,48.0,50.0
鳳梨17號,41.0,,33.0,,33.0,41.0,42.0,35.0,33.0,41.0,42.0,0.0,42.0,38.0,33.0
番石榴世紀,91.0,,0.0,,0.0,41.0,67.0,0.0,0.0,0.0,67.0,0.0,65.0,0.0,0.0
木瓜,58.0,,58.0,,50.0,58.0,58.0,58.0,58.0,58.0,50.0,0.0,65.0,0.0,58.0
小西瓜,41.0,,30.0,,30.0,33.0,40.0,33.0,33.0,33.0,33.0,0.0,37.0,32.0,33.0
甜瓜,83.0,,75.0,,67.0,0.0,67.0,75.0,83.0,83.0,65.0,0.0,82.0,78.0,83.0
洋香瓜,83.0,,83.0,,83.0,83.0,83.0,83.0,0.0,0.0,75.0,0.0,82.0,0.0,0.0
海梨柑,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
文旦,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柳橙,50.0,,45.0,,45.0,0.0,83.0,45.0,0.0,50.0,42.0,0.0,48.0,0.0,0.0
椪柑,75.0,,0.0,,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,65.0,0.0,0.0
楊桃,58.0,,75.0,,0.0,0.0,75.0,0.0,0.0,0.0,50.0,0.0,58.0,0.0,0.0
蓮霧,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0
鶯歌桃,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
紅柿子,0.0,,50.0,,41.0,0.0,67.0,50.0,0.0,66.0,0.0,0.0,65.0,52.0,0.0
巨峰葡萄,166.0,,133.0,,133.0,150.0,142.0,150.0,150.0,150.0,120.0,0.0,158.0,136.0,150.0
黑葉荔枝,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在來芒果,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新世紀梨,0.0,,117.0,,100.0,0.0,100.0,133.0,0.0,100.0,0.0,0.0,98.0,0.0,0.0
棗子,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
紅肉李,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玉李,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荔枝玉荷,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳳梨開英,33.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桶柑,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
檸檬,83.0,,58.0,,50.0,75.0,50.0,67.0,67.0,83.0,42.0,0.0,82.0,0.0,67.0
茂谷柑,0.0,,0.0,,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0
白柚,100.0,,83.0,,67.0,0.0,83.0,0.0,0.0,83.0,0.0,0.0,65.0,0.0,0.0
甜桃,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0
水蜜桃,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
牛心柿,66.0,,58.0,,41.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
甜柿,200.0,,183.0,,167.0,0.0,133.0,200.0,200.0,166.0,0.0,0.0,115.0,0.0,200.0
橫山梨,0.0,,0.0,,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
新興梨,108.0,,133.0,,100.0,100.0,100.0,117.0,116.0,116.0,110.0,0.0,115.0,112.0,116.0
大西瓜,0.0,,50.0,,50.0,41.0,42.0,50.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0
無子西瓜,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
