2013-08-26, 0
2013-09-26, 0
2013-10-26, 0
2013-11-26, 0
2013-12-26, 1.0
2013-01-27, 0
2013-02-27, 0
2013-03-27, 3.0
2013-04-27, 3.0
2013-05-27, 0
2013-06-27, 0
2013-07-27, 0
2013-08-27, 2.0
2013-09-27, 0
2013-10-27, 0
2013-11-27, 0
2013-12-27, 0.5
2013-01-28, 0
2013-02-28, 0
2013-03-28, 0
2013-04-28, 0
2013-05-28, 0
2013-06-28, 0
2013-07-28, 0
2013-08-28, 32.0
2013-09-28, 0
2013-10-28, 0
2013-11-28, 0
2013-12-28, 0
2013-01-29, 0
2013-03-29, 0
2013-04-29, 0
2013-05-29, 0
2013-06-29, 0
2013-07-29, 5.5
2013-08-29, 144.0
2013-09-29, 0
2013-10-29, 0
2013-11-29, 0
2013-12-29, 0
2013-01-30, 4.5
2013-03-30, 0
2013-04-30, 0
2013-05-30, 0
2013-06-30, 0
2013-07-30, 2.5
2013-08-30, 14.0
2013-09-30, 1.5
2013-10-30, 0
2013-11-30, 0
2013-12-30, 0
2013-01-31, 0
2013-03-31, 0
2013-05-31, 0
2013-07-31, 10.0
2013-08-31, 92.0
2013-10-31, 0
2013-12-31, 0
2014-01-01, 0
2014-02-01, 0
2014-03-01, 0
2014-04-01, 9.0
2014-05-01, 0
2014-06-01, 0
2014-07-01, 0
2014-08-01, 16.5
2014-09-01, 0
2014-10-01, 0
2014-11-01, 0
2014-12-01, 0
2014-01-02, 0
2014-02-02, 0
2014-03-02, 0
2014-04-02, 0
2014-05-02, 0
2014-06-02, 0
2014-07-02, 0
2014-08-02, 0
2014-09-02, 0
2014-10-02, 0
2014-11-02, 0
2014-12-02, 0
2014-01-03, 0
2014-02-03, 0.5
2014-03-03, 0
2014-04-03, 0
2014-05-03, 0
2014-06-03, 9.5
2014-07-03, 0
2014-08-03, 0
2014-09-03, 0
2014-10-03, 0.5
2014-11-03, 0
2014-12-03, 0.5
2014-01-04, 0
2014-02-04, 0
2014-03-04, 0
2014-04-04, 0
2014-05-04, 0
2014-06-04, 8.0
2014-07-04, 0.5
2014-08-04, 2.0
2014-09-04, 0
2014-10-04, 0
2014-11-04, 0
2014-12-04, 1.0
2014-01-05, 0
2014-02-05, 0
2014-03-05, 0
2014-04-05, 0
2014-05-05, 1.5
2014-06-05, 0
2014-07-05, 3.0
2014-08-05, 0
2014-09-05, 0
2014-10-05, 0
2014-11-05, 0
2014-12-05, 1.0
2014-01-06, 0
2014-02-06, 0.5
2014-03-06, 0
2014-04-06, 0
2014-05-06, 0
2014-06-06, 2.5
2014-07-06, 1.5
2014-08-06, 0
2014-09-06, 1.0
2014-10-06, 0
2014-11-06, 0
2014-12-06, 0
2014-01-07, 0
2014-02-07, 0
2014-03-07, 0
2014-04-07, 1.5
2014-05-07, 0
2014-06-07, 24.5
2014-07-07, 9.5
2014-08-07, 8.0
2014-09-07, 0
2014-10-07, 0
2014-11-07, 0
2014-12-07, 0
2014-01-08, 0
2014-02-08, 0
2014-03-08, 0
2014-04-08, 1.0
2014-05-08, 0
2014-06-08, 121.5
2014-07-08, 0
2014-08-08, 80.5
2014-09-08, 3.5
2014-10-08, 0
2014-11-08, 0
2014-12-08, 0
2014-01-09, 0
2014-02-09, 0
2014-03-09, 0
2014-04-09, 0
2014-05-09, 4.0
2014-06-09, 57.5
2014-07-09, 3.0
2014-08-09, 40.0
2014-09-09, 0
2014-10-09, 0
2014-11-09, 0
2014-12-09, 0
2014-01-10, 0.5
2014-02-10, 0
2014-03-10, 0
2014-04-10, 0
2014-05-10, 1.0
2014-06-10, 0
2014-07-10, 0
2014-08-10, 41.5
2014-09-10, 0
2014-10-10, 0
2014-11-10, 0
2014-12-10, 0
2014-01-11, 0
2014-02-11, 0
2014-03-11, 0
2014-04-11, 0
2014-05-11, 0
2014-06-11, 13.0
2014-07-11, 0
2014-08-11, 41.5
2014-09-11, 5.5
2014-10-11, 0
2014-11-11, 0
2014-12-11, 0
2014-01-12, 0
2014-02-12, 0
2014-03-12, 0
2014-04-12, 0
2014-05-12, 2.0
2014-06-12, 0.5
2014-07-12, 0
2014-08-12, 62.5
2014-09-12, 0
2014-10-12, 1.5
2014-11-12, 0
2014-12-12, 0
2014-01-13, 0.5
2014-02-13, 0
2014-03-13, 0
2014-04-13, 0
2014-05-13, 0
2014-06-13, 3.0
2014-07-13, 0
2014-08-13, 52.5
2014-09-13, 0
2014-10-13, 0
2014-11-13, 0
2014-12-13, 0
2014-01-14, 0
2014-02-14, 1.5
2014-03-14, 0
2014-04-14, 0
2014-05-14, 0
2014-06-14, 56.5
2014-07-14, 0
2014-08-14, 33.0
2014-09-14, 0
2014-10-14, 0
2014-11-14, 0
2014-12-14, 0
2014-01-15, 0
2014-02-15, 0
2014-03-15, 0
2014-04-15, 0
2014-05-15, 0
2014-06-15, 10.0
2014-07-15, 0
2014-08-15, 0
2014-09-15, 15.0
2014-10-15, 0
2014-11-15, 5.5
2014-12-15, 0
2014-01-16, 0
2014-02-16, 0
2014-03-16, 0
2014-04-16, 0
2014-05-16, 0
2014-06-16, 0
2014-07-16, 0
2014-08-16, 7.0
2014-09-16, 0
2014-10-16, 0
2014-11-16, 0
2014-12-16, 0
2014-01-17, 0
2014-02-17, 0
2014-03-17, 0
2014-04-17, 0
2014-05-17, 0
2014-06-17, 0
2014-07-17, 9.5
2014-08-17, 6.0
2014-09-17, 0
2014-10-17, 0
2014-11-17, 0
2014-12-17, 0
2014-01-18, 0
2014-02-18, 0
2014-03-18, 0
2014-04-18, 0
2014-05-18, 0
2014-06-18, 0
2014-07-18, 0.5
2014-08-18, 33.0
2014-09-18, 0
2014-10-18, 0
2014-11-18, 0
2014-12-18, 0
2014-01-19, 0
2014-02-19, 5.5
2014-03-19, 0
2014-04-19, 0
2014-05-19, 2.5
2014-06-19, 0
2014-07-19, 0
2014-08-19, 1.5
2014-09-19, 7.0
2014-10-19, 0
2014-11-19, 0
2014-12-19, 0.5
2014-01-20, 0
2014-02-20, 2.5
2014-03-20, 0
2014-04-20, 0
2014-05-20, 3.0
2014-06-20, 0
2014-07-20, 0
2014-08-20, 0
2014-09-20, 73.5
2014-10-20, 0
2014-11-20, 0
2014-12-20, 0
2014-01-21, 0
2014-02-21, 0
2014-03-21, 0
2014-04-21, 0
2014-05-21, 3.0
2014-06-21, 0.5
2014-07-21, 0
2014-08-21, 0
2014-09-21, 260.0
2014-10-21, 0
2014-11-21, 0
2014-12-21, 0
2014-01-22, 0
2014-02-22, 0
2014-03-22, 0
2014-04-22, 0
2014-05-22, 0
2014-06-22, 0
2014-07-22, 21.5
2014-08-22, 0
2014-09-22, 45.0
2014-10-22, 34.0
2014-11-22, 0
2014-12-22, 0
2014-01-23, 0
2014-02-23, 0
2014-03-23, 0
2014-04-23, 0
2014-05-23, 0
2014-06-23, 0
2014-07-23, 45.0
2014-08-23, 0
2014-09-23, 8.0
2014-10-23, 0
2014-11-23, 0
2014-12-23, 0
2014-01-24, 0
2014-02-24, 0
2014-03-24, 0
2014-04-24, 0
2014-05-24, 0
2014-06-24, 3.0
2014-07-24, 14.5
2014-08-24, 0
2014-09-24, 0
2014-10-24, 0
2014-11-24, 0
2014-12-24, 0
2014-01-25, 0
2014-02-25, 0
2014-03-25, 0
2014-04-25, 0
2014-05-25, 0
2014-06-25, 3.0
2014-07-25, 14.5
2014-08-25, 0
2014-09-25, 0
2014-10-25, 0
2014-11-25, 0
2014-12-25, 2.0
2014-01-26, 0
2014-02-26, 0.5
2014-03-26, 24.0
2014-04-26, 0.5
2014-05-26, 0
2014-06-26, 0
2014-07-26, 0
2014-08-26, 0
2014-09-26, 0
2014-10-26, 6.0
2014-11-26, 0
2014-12-26, 4.0
2014-01-27, 0
2014-02-27, 0.5
2014-03-27, 0
2014-04-27, 0
2014-05-27, 6.0
2014-06-27, 0
2014-07-27, 0
2014-08-27, 0.5
2014-09-27, 9.0
2014-10-27, 5.0
2014-11-27, 0.5
2014-12-27, 0
2014-01-28, 0
2014-02-28, 1.0
2014-03-28, 0
2014-04-28, 0
2014-05-28, 17.5
2014-06-28, 9.0
2014-07-28, 0
2014-08-28, 0
2014-09-28, 0
2014-10-28, 0
2014-11-28, 0
2014-12-28, 0
2014-01-29, 0
2014-03-29, 0
2014-04-29, 0
2014-05-29, 0
2014-06-29, 1.0
2014-07-29, 0
2014-08-29, 0
2014-09-29, 0
2014-10-29, 0
2014-11-29, 0
2014-12-29, 0
2014-01-30, 0
2014-03-30, 0
2014-04-30, 0
2014-05-30, 0
2014-06-30, 0
2014-07-30, 0
2014-08-30, 0
2014-09-30, 0
2014-10-30, 0
2014-11-30, 0
2014-12-30, 0
2014-01-31, 0
2014-03-31, 37.0
2014-05-31, 0
2014-07-31, 0
2014-08-31, 0.5
2014-10-31, 0
2014-12-31, 0
2015-01-01, 0
2015-02-01, 0
2015-03-01, 0
2015-04-01, 0
2015-05-01, 0
2015-06-01, 0
2015-07-01, 0.5
2015-08-01, 0
2015-09-01, 0
2015-10-01, 0
2015-11-01, 0
2015-12-01, 0
2015-01-02, 0
2015-02-02, 0
2015-03-02, 0
2015-04-02, 0
2015-05-02, 0
2015-06-02, 0
2015-07-02, 0.5
2015-08-02, 0
2015-09-02, 0
2015-10-02, 0
2015-11-02, 0
2015-12-02, 0
2015-01-03, 0
2015-02-03, 0
2015-03-03, 0
2015-04-03, 0
2015-05-03, 0
2015-06-03, 0
2015-07-03, 0
2015-08-03, 0
2015-09-03, 0
2015-10-03, 1.5
2015-11-03, 0
2015-12-03, 0
2015-01-04, 0
2015-02-04, 0
2015-03-04, 0
2015-04-04, 0
2015-05-04, 0
2015-06-04, 0
2015-07-04, 0
2015-08-04, 0
2015-09-04, 0
2015-10-04, 0
2015-11-04, 0
2015-12-04, 0
2015-01-05, 0
2015-02-05, 0
2015-03-05, 0
2015-04-05, 0
2015-05-05, 0
2015-06-05, 0
2015-07-05, 21.0
2015-08-05, 9.5
2015-09-05, 0
2015-10-05, 0
2015-11-05, 0
2015-12-05, 0
2015-01-06, 0
2015-02-06, 0
2015-03-06, 0
2015-04-06, 89.5
2015-05-06, 0
2015-06-06, 0
2015-07-06, 28.5
2015-08-06, 0
2015-09-06, 0
2015-10-06, 0.5
2015-11-06, 0
2015-12-06, 1.5
2015-01-07, 0
2015-02-07, 0.5
2015-03-07, 0
2015-04-07, 0
2015-05-07, 0
2015-06-07, 0
2015-07-07, 169.0
2015-08-07, 0
2015-09-07, 0
2015-10-07, 0
2015-11-07, 0
2015-12-07, 0
2015-01-08, 0
2015-02-08, 0
2015-03-08, 0
2015-04-08, 0
2015-05-08, 0
2015-06-08, 0
2015-07-08, 49.5
2015-08-08, 13.0
2015-09-08, 0
2015-10-08, 0
2015-11-08, 0
2015-12-08, 0
2015-01-09, 0
2015-02-09, 0
2015-03-09, 0
2015-04-09, 0
2015-05-09, 0
2015-06-09, 0
2015-07-09, 44.5
2015-08-09, 0
2015-09-09, 0
2015-10-09, 5.5
2015-11-09, 0
2015-12-09, 0
2015-01-10, 0
2015-02-10, 0
2015-03-10, 0
2015-04-10, 0
2015-05-10, 0
2015-06-10, 0
2015-07-10, 0
2015-08-10, 0.5
2015-09-10, 0
2015-10-10, 3.3
2015-11-10, 0
2015-12-10, 1.0
2015-01-11, 0
2015-02-11, 0
2015-03-11, 0
2015-04-11, 0.5
2015-05-11, 29.1
2015-06-11, 0
2015-07-11, 0
2015-08-11, 0
2015-09-11, 0
2015-10-11, 0
2015-11-11, 0
2015-12-11, 0
2015-01-12, 1.0
2015-02-12, 0
2015-03-12, 0
2015-04-12, 0
2015-05-12, 0
2015-06-12, 0
2015-07-12, 8.5
2015-08-12, 4.0
2015-09-12, 0
2015-10-12, 0
2015-11-12, 0
2015-12-12, 0
2015-01-13, 0
2015-02-13, 0
2015-03-13, 0
2015-04-13, 0
2015-05-13, 0
2015-06-13, 0
2015-07-13, 25.7
2015-08-13, 0.5
2015-09-13, 1.2
2015-10-13, 0
2015-11-13, 0
2015-12-13, 0
2015-01-14, 33.0
2015-02-14, 0
2015-03-14, 0
2015-04-14, 0
2015-05-14, 0
2015-06-14, 0
2015-07-14, 34.5
2015-08-14, 2.5
2015-09-14, 0
2015-10-14, 0
2015-11-14, 0
2015-12-14, 0
2015-01-15, 0
2015-02-15, 0
2015-03-15, 0
2015-04-15, 0
2015-05-15, 0
2015-06-15, 0
2015-07-15, 0
2015-08-15, 0
2015-09-15, 0
2015-10-15, 0
2015-11-15, 1.0
2015-12-15, 0
2015-01-16, 0
2015-02-16, 0
2015-03-16, 0
2015-04-16, 0
2015-05-16, 0
2015-06-16, 0
2015-07-16, 0
2015-08-16, 1.0
2015-09-16, 14.5
2015-10-16, 0
2015-11-16, 0
2015-12-16, 0
2015-01-17, 0
2015-02-17, 0
2015-03-17, 0
2015-04-17, 0
2015-05-17, 0
2015-06-17, 0
2015-07-17, 3.5
2015-08-17, 0
2015-09-17, 0
2015-10-17, 0
2015-11-17, 0
2015-12-17, 0
2015-01-18, 0
2015-02-18, 0
2015-03-18, 0
2015-04-18, 0
2015-05-18, 0
2015-06-18, 0
2015-07-18, 38.0
2015-08-18, 0.5
2015-09-18, 0
2015-10-18, 5.0
2015-11-18, 0
2015-12-18, 0
2015-01-19, 0.5
2015-02-19, 0
2015-03-19, 0
2015-04-19, 0
2015-05-19, 0
2015-06-19, 0
2015-07-19, 14.5
2015-08-19, 0
2015-09-19, 0
2015-10-19, 7.5
2015-11-19, 0
2015-12-19, 0
2015-01-20, 0
2015-02-20, 0
2015-03-20, 0
2015-04-20, 0
2015-05-20, 0
2015-06-20, 0
2015-07-20, 6.0
2015-08-20, 0
2015-09-20, 0
2015-10-20, 14.0
2015-11-20, 4.5
2015-12-20, 0
2015-01-21, 0
2015-02-21, 0
2015-03-21, 0
2015-04-21, 6.5
2015-05-21, 10.5
2015-06-21, 0
2015-07-21, 0
2015-08-21, 15.5
2015-09-21, 0
2015-10-21, 27.0
2015-11-21, 18.0
2015-12-21, 0
2015-01-22, 0
2015-02-22, 28.5
2015-03-22, 0
2015-04-22, 0
2015-05-22, 41.0
2015-06-22, 13.0
2015-07-22, 0
2015-08-22, 61.5
2015-09-22, 0
2015-10-22, 0
2015-11-22, 0
2015-12-22, 0
2015-01-23, 0
2015-02-23, 0
2015-03-23, 0
2015-04-23, 0
2015-05-23, 59.5
2015-06-23, 11.0
2015-07-23, 0
2015-08-23, 0.2
2015-09-23, 0
2015-10-23, 3.0
2015-11-23, 0
2015-12-23, 0
2015-01-24, 0
2015-02-24, 0
2015-03-24, 0
2015-04-24, 0
2015-05-24, 38.7
2015-06-24, 5.0
2015-07-24, 0
2015-08-24, 0
2015-09-24, 11.5
2015-10-24, 4.5
2015-11-24, 0
2015-12-24, 0
2015-01-25, 0
2015-02-25, 0
2015-03-25, 0
2015-04-25, 0
2015-05-25, 142.0
2015-06-25, 0.5
2015-07-25, 0
2015-08-25, 6.0
2015-09-25, 17.5
2015-10-25, 0
2015-11-25, 4.0
2015-12-25, 0
2015-01-26, 0
2015-02-26, 0
2015-03-26, 0
2015-04-26, 0
2015-05-26, 59.5
2015-06-26, 0.5
2015-07-26, 0
2015-08-26, 6.5
2015-09-26, 0.5
2015-10-26, 0
2015-11-26, 0
2015-12-26, 0
2015-01-27, 0
2015-02-27, 0
2015-03-27, 0.1
2015-04-27, 0
2015-05-27, 11.5
2015-06-27, 0
2015-07-27, 0
2015-08-27, 24.5
2015-09-27, 0
2015-10-27, 0
2015-11-27, 0
2015-12-27, 0
2015-01-28, 0
2015-02-28, 0
2015-03-28, 0
2015-04-28, 6.3
2015-05-28, 0
2015-06-28, 0
2015-07-28, 49.0
2015-08-28, 12.0
2015-09-28, 4.5
2015-10-28, 0
2015-11-28, 0
2015-12-28, 0
2015-01-29, 0
2015-03-29, 0
2015-04-29, 0
2015-05-29, 0
2015-06-29, 0
2015-07-29, 0
2015-08-29, 42.0
2015-09-29, 2.0
2015-10-29, 0
2015-11-29, 0
2015-12-29, 0
2015-01-30, 0
2015-03-30, 0
2015-04-30, 0
2015-05-30, 0
2015-06-30, 5.5
2015-07-30, 0
2015-08-30, 20.5
2015-09-30, 1.5
2015-10-30, 0
2015-11-30, 0
2015-12-30, 0
2015-01-31, 0
2015-03-31, 0
2015-05-31, 0
2015-07-31, 0
2015-08-31, 17.0
2015-10-31, 1.0
2015-12-31, 0
2016-01-01, 0
2016-02-01, 0
2016-03-01, 0
2016-04-01, 0
2016-05-01, 0
2016-06-01, 0
2016-07-01, 0
2016-08-01, 24.5
2016-09-01, 0
2016-10-01, 9.5
2016-11-01, 0
2016-12-01, 0
2016-01-02, 40.0
2016-02-02, 0
2016-03-02, 0
2016-04-02, 0
2016-05-02, 0
2016-06-02, 0.4
2016-07-02, 0.5
2016-08-02, 9.0
2016-09-02, 116.5
2016-10-02, 0
2016-11-02, 0
2016-12-02, 0
2016-01-03, 33.0
2016-02-03, 0
2016-03-03, 0
2016-04-03, 0
2016-05-03, 0
2016-06-03, 0
2016-07-03, 1.0
2016-08-03, 0
2016-09-03, 37.5
2016-10-03, 0
2016-11-03, 0
2016-12-03, 0
2016-01-04, 0
2016-02-04, 1.0
2016-03-04, 0
2016-04-04, 0
2016-05-04, 0
2016-06-04, 0
2016-07-04, 0
2016-08-04, 0
2016-09-04, 0
2016-10-04, 0
2016-11-04, 0
2016-12-04, 0
2016-01-05, 0
2016-02-05, 1.0
2016-03-05, 0.5
2016-04-05, 0
2016-05-05, 0
2016-06-05, 0
2016-07-05, 9.0
2016-08-05, 0
2016-09-05, 23.0
2016-10-05, 0.5
2016-11-05, 0
2016-12-05, 0
2016-01-06, 1.0
2016-02-06, 0
2016-03-06, 0.5
2016-04-06, 0
2016-05-06, 0
2016-06-06, 1.5
2016-07-06, 15.0
2016-08-06, 0
2016-09-06, 24.5
2016-10-06, 34.5
2016-11-06, 0
2016-12-06, 0
2016-01-07, 0
2016-02-07, 0
2016-03-07, 0
2016-04-07, 0
2016-05-07, 0
2016-06-07, 9.5
2016-07-07, 13.5
2016-08-07, 0
2016-09-07, 45.5
2016-10-07, 40.0
2016-11-07, 0
2016-12-07, 0
2016-01-08, 0.5
2016-02-08, 0
2016-03-08, 0
2016-04-08, 0
2016-05-08, 1.0
2016-06-08, 2.0
2016-07-08, 225.0
2016-08-08, 26.5
2016-09-08, 4.5
2016-10-08, 109.0
2016-11-08, 0
2016-12-08, 0
2016-01-09, 0
2016-02-09, 0
2016-03-09, 0
2016-04-09, 0
2016-05-09, 0
2016-06-09, 36.0
2016-07-09, 26.5
2016-08-09, 21.0
2016-09-09, 0
2016-10-09, 79.5
2016-11-09, 0
2016-12-09, 0
2016-01-10, 0
2016-02-10, 0
2016-03-10, 0
2016-04-10, 8.5
2016-05-10, 6.0
2016-06-10, 172.5
2016-07-10, 33.0
2016-08-10, 0
2016-09-10, 0
2016-10-10, 57.5
2016-11-10, 0
2016-12-10, 0
2016-01-11, 0
2016-02-11, 0
2016-03-11, 0
2016-04-11, 19.5
2016-05-11, 12.5
2016-06-11, 92.0
2016-07-11, 12.3
2016-08-11, 12.5
2016-09-11, 0
2016-10-11, 0
2016-11-11, 0
2016-12-11, 0
2016-01-12, 1.0
2016-02-12, 0
2016-03-12, 0
2016-04-12, 0
2016-05-12, 0
2016-06-12, 1.0
2016-07-12, 16.0
2016-08-12, 140.0
2016-09-12, 0.5
2016-10-12, 0
2016-11-12, 0
2016-12-12, 0
2016-01-13, 4.0
2016-02-13, 0
2016-03-13, 0
2016-04-13, 14.1
2016-05-13, 0
2016-06-13, 14.1
2016-07-13, 3.0
2016-08-13, 40.0
2016-09-13, 6.0
2016-10-13, 1.0
2016-11-13, 0
2016-12-13, 0
2016-01-14, 0
2016-02-14, 0
2016-03-14, 2.4
2016-04-14, 2.0
2016-05-14, 0
2016-06-14, 0
2016-07-14, 0.5
2016-08-14, 49.5
2016-09-14, 334.0
2016-10-14, 3.5
2016-11-14, 0
2016-12-14, 0
2016-01-15, 0
2016-02-15, 0
2016-03-15, 0
2016-04-15, 0.5
2016-05-15, 0
2016-06-15, 0
2016-07-15, 0
2016-08-15, 105.5
2016-09-15, 21.0
2016-10-15, 2.0
2016-11-15, 0
2016-12-15, 0
2016-01-16, 0
2016-02-16, 0
2016-03-16, 0
2016-04-16, 0
2016-05-16, 19.0
2016-06-16, 0
2016-07-16, 0
2016-08-16, 25.0
2016-09-16, 0
2016-10-16, 2.0
2016-11-16, 0
2016-12-16, 0
2016-01-17, 4.0
2016-02-17, 0
2016-03-17, 0
2016-04-17, 0
2016-05-17, 0
2016-06-17, 0
2016-07-17, 0
2016-08-17, 33.5
2016-09-17, 0
2016-10-17, 8.0
2016-11-17, 0
2016-12-17, 0
2016-01-18, 0.5
2016-02-18, 0
2016-03-18, 0
2016-04-18, 0
2016-05-18, 0
2016-06-18, 0
2016-07-18, 0
2016-08-18, 58.0
2016-09-18, 2.5
2016-10-18, 0.5
2016-11-18, 0
2016-12-18, 0
2016-01-19, 0
2016-02-19, 0
2016-03-19, 0
2016-04-19, 0
2016-05-19, 0.5
2016-06-19, 0
2016-07-19, 0
2016-08-19, 3.5
2016-09-19, 18.0
2016-10-19, 1.5
2016-11-19, 0
2016-12-19, 0
2016-01-20, 0
